album,artist,genre,subgenres
In the Aeroplane Over the Sea,Neutral Milk Hotel,Rock,"Baroque Pop, Folk Rock, Indie Folk, Indie Rock, Lo-Fi, Psychedelic Folk"
iridescence,BROCKHAMPTON,Hip Hop,"Alternative Hip Hop, Alternative R&B, Experimental Hip Hop, Industrial Hip Hop, Pop Rap, Post-Punk, Psychedelic Hip Hop"
Issa Album,21 Savage,Hip Hop,"Atlanta Hip Hop, Gangsta Rap, Melodic Rap, Mumble Rap, Southern Hip Hop, Trap"
JACKBOYS,"Travis Scott, JACKBOYS",Hip Hop,"Atlanta Hip Hop, Mumble Rap, Pop Rap, Psychedelic Trap, Southern Hip Hop, Trap"
JEFFERY,Young Thug,Hip Hop,"Atlanta Hip Hop, Cloud Rap, Experimental Hip Hop, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
Kauai,Childish Gambino,Hip Hop,"Alternative R&B, Contemporary R&B, Electropop, Indie Pop, Pop Rap, Synthpop, Tropical Pop"
KIDS SEE GHOSTS,"Kanye West, Kid Cudi, KIDS SEE GHOSTS",Hip Hop,"Alternative Hip Hop, Experimental Hip Hop, Industrial Hip Hop, Progressive Hip Hop, Psychedelic Hip Hop, Pop Rap, Rap Rock"
Kill 'Em All,Metallica,Rock,"Heavy Metal, Speed Metal, Thrash Metal"
Late Registration,Kanye West,Hip Hop,"Alternative Hip Hop, Chipmunk Soul, Conscious Hip Hop, Jazz Rap, Orchestral Hip Hop, Pop Rap, Progressive Hip Hop, Soul"
L.A. Woman,The Doors,Rock,"Acid Rock, Blues Rock, Classic Rock, Psychedelic Rock"
Led Zeppelin,Led Zeppelin,Rock,"Blues Rock, Classic Rock, Folk Rock, Hard Rock, Heavy Metal, Psychedelic Rock"
Led Zeppelin II,Led Zeppelin,Rock,"Blues Rock, Classic Rock, Hard Rock, Heavy Metal, Psychedelic Rock"
Led Zeppelin III,Led Zeppelin,Rock,"Acoustic Rock, Blues Rock, Classic Rock, Folk Rock, Hard Rock, Psychedelic Rock"
Led Zeppelin IV,Led Zeppelin,Rock,"Blues Rock, Classic Rock, Folk Rock, Hard Rock, Heavy Metal, Psychedelic Rock,"
Let's Start Here.,Lil Yachty,Rock,"Alternative Rock, Art Rock, Funk, Neo-Psychedelia, Progressive Rock, Psychedelic Rock"
The Life Of Pablo,Kanye West,Hip Hop,"Alternative Hip Hop, Art Pop, Contemporary R&B, Electronic, Experimental Hip Hop, Gospel, House, Pop Rap, Progressive Hip Hop, Trap"
